achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,student auc,coverage
5.981240315058238,0.0017684916010629603,,152,65.48672566371681,0.6961336336336337,0.710691823899371
7.981770600310764,0.021872896820576804,,263,75.48387096774194,0.7561936936936937,0.9748427672955975
9.979829790405073,0.0026044485811320683,,384,73.6842105263158,0.7498123123123124,0.9559748427672956
5.981240315058238,0.002079160482172604,,152,64.96350364963503,0.6961336336336337,0.8616352201257862
7.981770600310764,0.03585889907008297,,263,75.47169811320755,0.7561936936936937,1.0
1.9969694870688863,3.0942727236027423e-07,,13,69.81132075471699,0.6631006006006006,1.0
9.979829790405073,0.0293599982104521,,384,73.88535031847134,0.7498123123123124,0.9874213836477987
3.977552047837975,3.0942727236027423e-07,,76,69.81132075471699,0.7149024024024024,1.0
5.981240315058238,0.0107189514930488,,152,65.54054054054055,0.6961336336336337,0.9308176100628931
1.9969694870688863,3.0942727236027423e-07,,13,69.81132075471699,0.6631006006006006,1.0
7.981770600310764,0.03585889907008297,,263,75.47169811320755,0.7561936936936937,1.0
3.977552047837975,3.0942727236027423e-07,,76,69.81132075471699,0.7149024024024024,1.0
1.9969694870688863,3.0942727236027423e-07,,13,69.81132075471699,0.6631006006006006,1.0
9.979829790405073,0.04164261243153328,,384,73.58490566037736,0.7498123123123124,1.0
3.977552047837975,3.0942727236027423e-07,,76,69.81132075471699,0.7149024024024024,1.0
5.981240315058238,0.017990236667073,,152,66.0,0.6961336336336337,0.9433962264150944
1.9969694870688863,3.0942727236027423e-07,,13,69.81132075471699,0.6631006006006006,1.0
7.981770600310764,0.03585889907008297,,263,75.47169811320755,0.7561936936936937,1.0
3.977552047837975,3.0942727236027423e-07,,76,69.81132075471699,0.7149024024024024,1.0
9.979829790405073,0.04164261243153328,,384,73.58490566037736,0.7498123123123124,1.0
11.9904716842224,0.0027325191292765227,,539,76.02739726027397,0.728978978978979,0.9182389937106918
13.99910094317712,0.00872678647257874,,669,71.03448275862068,0.7428678678678678,0.9119496855345912
15.668971587117959,0.005890561999282562,,815,78.10218978102189,0.7931681681681682,0.8616352201257862
15.668971587117959,0.045787600855568406,,815,76.97368421052632,0.7931681681681682,0.9559748427672956
15.668971587117959,0.08041963372289354,,815,77.21518987341773,0.7931681681681682,0.9937106918238994
15.668971587117959,0.08588784946162834,,815,77.35849056603773,0.7931681681681682,1.0
11.9904716842224,0.01729285426239538,,539,74.83870967741936,0.773460960960961,0.9748427672955975
11.9904716842224,0.039907529365825395,,539,74.84276729559748,0.773460960960961,1.0
11.9904716842224,0.039907529365825395,,539,74.84276729559748,0.773460960960961,1.0
13.99910094317712,0.009540916878824635,,669,72.25806451612904,0.7447447447447447,0.9748427672955975
13.99910094317712,0.03238873293866726,,669,72.95597484276729,0.7447447447447447,1.0
11.9904716842224,0.0007694496271127838,,539,75.39682539682539,0.773460960960961,0.7924528301886793
13.99910094317712,0.004699546560686496,,669,73.88535031847134,0.7976726726726727,0.9874213836477987
13.99910094317712,0.004916171828596383,,669,74.21383647798743,0.7976726726726727,1.0
13.99910094317712,0.004916171828596383,,669,74.21383647798743,0.7976726726726727,1.0
13.99910094317712,0.004916171828596383,,669,74.21383647798743,0.7976726726726727,1.0
11.9904716842224,0.020249273159443193,,539,66.41221374045801,0.7342342342342342,0.8238993710691824
11.9904716842224,0.029914582557135166,,539,67.37588652482269,0.7342342342342342,0.8867924528301887
