budget,fairgap,achieved_budget,fairness gap,query fairness gap,number answered,student accuracy,auc,coverage
3.0,0.01,2.996736092314156e+00,0.1868160532922467,0.33122127289805237,147,75.26666666666667,0.8206315602206014,1.0
4.0,0.01,3.9994635824158076e+00,0.22278930749848513,0.2578668660640089,202,77.26666666666667,0.8499021526418786,1.0
5.0,0.01,4.998354923543991e+00,0.23314809926651658,0.043183449465619916,262,79.0,0.8530630670699164,1.0
6.0,0.01,5.989514388481506e+00,0.21781709073450833,0.02860930922700855,370,79.8,0.8728629247464863,1.0
7.0,0.01,6.991048702610226e+00,0.24062526298378767,0.01255360387224791,469,80.0,0.8788067069916384,1.0
8.0,0.01,7.99924861299619e+00,0.23497501367501555,0.008593782516853332,593,81.33333333333333,0.883827610745419,1.0
9.0,0.01,8.994491839511777e+00,0.23350595000437224,0.008332098786282605,714,81.6,0.888340597758406,1.0
10.0,0.01,9.99591883622023e+00,0.22757318781957675,0.003926640496228095,838,81.26666666666667,0.88357098381071,1.0
3.0,0.05,2.996736092314156e+00,0.2031997823549258,0.3420474815197359,152,75.73333333333333,0.8201298701298703,1.0
4.0,0.05,3.9994635824158076e+00,0.19046988210924465,0.29184356268882,225,74.46666666666667,0.8204643301903576,1.0
5.0,0.05,4.998354923543991e+00,0.2576890177028522,0.06605208219113712,314,79.33333333333333,0.8608801814623732,1.0
6.0,0.05,5.989514388481506e+00,0.2471230509206298,0.07389282132416025,445,80.33333333333333,0.8735011563778687,1.0
3.0,0.1,2.996736092314156e+00,0.2133910611512725,0.35924324621347375,157,76.8,0.826152375022238,1.0
7.0,0.05,6.991048702610226e+00,0.2347678386608245,0.047118827055484314,559,80.33333333333333,0.8792834904821207,1.0
4.0,0.1,3.9994635824158076e+00,0.19357752374550186,0.3211172869631395,238,76.66666666666667,0.8273647927415051,1.0
5.0,0.1,4.998354923543991e+00,0.2648083306822677,0.09827406162486707,333,79.86666666666666,0.8701489948407757,1.0
8.0,0.05,7.99924861299619e+00,0.1912420828754825,0.046103910946945326,719,79.6,0.8668866749688668,1.0
9.0,0.05,8.994491839511777e+00,0.22290231429123364,0.04567892947722846,870,82.33333333333333,0.8987479985767657,1.0
3.0,0.15,2.996736092314156e+00,0.20054616100125267,0.37525309618253416,162,77.06666666666666,0.8274857676570004,1.0
10.0,0.05,9.99591883622023e+00,0.23631224019330016,0.03981474845802474,1017,81.13333333333334,0.8813213840953567,1.0
6.0,0.1,5.989514388481506e+00,0.2312270166365749,0.08837456439490932,463,80.06666666666666,0.8709806973848071,1.0
4.0,0.15,3.9994635824158076e+00,0.20378563978986858,0.33741231118281134,246,77.33333333333333,0.8291771926703434,1.0
7.0,0.1,6.991048702610226e+00,0.2563517911845677,0.0974348848205483,592,80.73333333333333,0.877114837217577,1.0
5.0,0.15,4.998354923543991e+00,0.27688103006604964,0.1284944762911378,346,79.53333333333333,0.8629158512720156,1.0
8.0,0.1,7.99924861299619e+00,0.20195872538136966,0.0974179395885626,752,81.13333333333334,0.8813449564134496,1.0
6.0,0.15,5.989514388481506e+00,0.23248890529302713,0.12431682911275604,475,79.86666666666666,0.8669800747198007,1.0
9.0,0.1,8.994491839511777e+00,0.22806287570979128,0.09723720783567708,904,81.26666666666667,0.8812377690802349,1.0
7.0,0.15,6.991048702610226e+00,0.2560692783085443,0.14524229577172448,610,80.93333333333334,0.8707796655399396,1.0
10.0,0.1,9.99591883622023e+00,0.23989073114846593,0.08666660075477556,1053,81.26666666666667,0.8916251556662516,1.0
8.0,0.15,7.99924861299619e+00,0.2517562555180568,0.14484736932860998,777,81.53333333333333,0.8840815691158157,1.0
9.0,0.15,8.994491839511777e+00,0.24452393574589293,0.12995383675169514,938,81.53333333333333,0.8935869951965842,1.0
10.0,0.15,9.99591883622023e+00,0.23505035153684795,0.10745230771912084,1082,80.8,0.8888889877246042,1.0
