budget,fairness_factor,achieved_budget,fairgap,achieved_fairgap,accuracy,coverage
2.0,0.0,1.993487852713811,0.01,0.0077052125311327,75.73099415204679,0.684
2.0,0.0,1.993487852713811,0.1,0.0887106333024466,76.13960113960114,0.936
2.0,0.0,1.993487852713811,0.15,0.1383092108405431,75.49896765313146,0.9686666666666668
2.0,0.0,1.993487852713811,0.2,0.1575376122011418,75.33512064343164,0.9946666666666668
2.0,0.0,1.993487852713811,0.05,0.0381075940443796,76.15844544095665,0.892
4.0,0.0,3.9937955895312,0.01,0.0075534479324117,78.76190476190476,0.7
4.0,0.0,3.9937955895312,0.15,0.1113558607272739,77.97416723317471,0.9806666666666668
4.0,0.0,3.9937955895312,0.1,0.0790509170658387,78.33099579242636,0.9506666666666668
4.0,0.0,3.9937955895312,0.2,0.120151289685453,77.8225806451613,0.992
4.0,0.0,3.9937955895312,0.05,0.0440227322481224,78.55579868708972,0.914
6.0,0.0,5.991889492829628,0.01,0.0075943210752073,79.63133640552995,0.7233333333333334
6.0,0.0,5.991889492829628,0.15,0.1344584615535385,79.38005390835579,0.9893333333333332
6.0,0.0,5.991889492829628,0.1,0.0971960752290935,79.45017182130584,0.97
8.0,0.0,7.998607168140848,0.01,0.0074954946980013,81.22109158186863,0.7206666666666667
8.0,0.0,7.998607168140848,0.1,0.0899499769265371,80.95238095238095,0.966
8.0,0.0,7.998607168140848,0.15,0.131396382071192,80.658159838818,0.9926666666666668
10.0,0.0,9.991698954560722,0.01,0.0076682293517477,81.22641509433963,0.7066666666666667
10.0,0.0,9.991698954560722,0.1,0.093454912593676,81.31944444444444,0.96
10.0,0.0,9.991698954560722,0.15,0.1338452187228928,81.07744107744108,0.99
10.0,10.0,9.996881175006632,0.01,0.0060203465929433,77.28119180633148,0.716
10.0,10.0,9.996881175006632,0.05,0.0418271151753579,77.5436046511628,0.9173333333333332
10.0,10.0,9.996881175006632,0.2,0.117469060904349,76.96929238985314,0.9986666666666668
10.0,10.0,9.996881175006632,0.1,0.0751899089878589,77.06167706167706,0.962
10.0,10.0,9.996881175006632,0.15,0.1079081486097963,76.95914266577361,0.9953333333333332
10.0,5.0,9.996881175006632,0.01,0.0086762327884305,78.54477611940298,0.7146666666666667
10.0,5.0,9.996881175006632,0.05,0.0428555872800875,78.81417208966016,0.922
10.0,5.0,9.996881175006632,0.2,0.1207350958430357,78.67647058823529,0.9973333333333332
10.0,5.0,9.996881175006632,0.1,0.0780523112287792,78.82352941176471,0.9633333333333334
10.0,5.0,9.996881175006632,0.15,0.1119321764904778,78.58585858585859,0.99
4.0,5.0,3.991270020313563,0.01,0.005864259323264,74.36131386861314,0.7306666666666667
4.0,5.0,3.991270020313563,0.05,0.0439550454221562,74.81962481962482,0.924
4.0,5.0,3.991270020313563,0.2,0.1083800477061174,74.6328437917223,0.9986666666666668
4.0,5.0,3.991270020313563,0.1,0.0860388145081174,74.75728155339806,0.9613333333333334
4.0,5.0,3.991270020313563,0.15,0.1098429114838422,74.54789015405224,0.9953333333333332
6.0,5.0,5.990242500389562,0.01,0.0079977858189181,76.77543186180422,0.6946666666666667
6.0,5.0,5.990242500389562,0.05,0.0440684019761283,77.01818181818182,0.9166666666666666
6.0,5.0,5.990242500389562,0.2,0.1285140403413474,77.06666666666666,1.0
6.0,5.0,5.990242500389562,0.1,0.0920328175336416,77.14681440443213,0.9626666666666668
6.0,5.0,5.990242500389562,0.15,0.1233552473133987,76.98996655518394,0.9966666666666668
2.0,10.0,1.9923494021126125,0.01,0.0083479245924414,72.23320158102767,0.6746666666666666
2.0,10.0,1.9923494021126125,0.05,0.041353526625667,72.7994227994228,0.924
2.0,10.0,1.9923494021126125,0.2,0.1239951611462618,72.70903010033445,0.9966666666666668
2.0,10.0,1.9923494021126125,0.1,0.0924446582094559,72.80276816608996,0.9633333333333334
2.0,10.0,1.9923494021126125,0.15,0.1227906626479871,72.70288397048961,0.994
4.0,10.0,3.991270020313563,0.01,0.0063695545102019,74.02597402597402,0.7186666666666667
4.0,10.0,3.991270020313563,0.05,0.0438993253121182,74.52966714905934,0.9213333333333332
4.0,10.0,3.991270020313563,0.2,0.1078099285693848,74.43257676902537,0.9986666666666668
4.0,10.0,3.991270020313563,0.1,0.0905735353556037,74.49896337249481,0.9646666666666668
4.0,10.0,3.991270020313563,0.15,0.1055900882166199,74.34519811954331,0.9926666666666668
4.0,1.0,3.991270020313563,0.01,0.0052334396139706,73.75231053604436,0.7213333333333334
4.0,1.0,3.991270020313563,0.05,0.0432828020902267,74.94584837545126,0.9233333333333332
4.0,1.0,3.991270020313563,0.2,0.1110253521591255,74.6995994659546,0.9986666666666668
4.0,1.0,3.991270020313563,0.1,0.0865710242824945,74.7229916897507,0.9626666666666668
4.0,1.0,3.991270020313563,0.15,0.1097928549270802,74.61486939048895,0.9953333333333332
2.0,1.0,1.9923494021126125,0.01,0.0088193776236314,70.96456692913385,0.6773333333333333
2.0,1.0,1.9923494021126125,0.05,0.0476931599932372,72.2909090909091,0.9166666666666666
2.0,1.0,1.9923494021126125,0.2,0.1028112303478983,72.15528781793842,0.996
2.0,1.0,1.9923494021126125,0.1,0.0856897015144673,72.3419041000695,0.9593333333333334
2.0,1.0,1.9923494021126125,0.15,0.1008156448024263,72.15104517869185,0.9886666666666668
6.0,10.0,5.990242500389562,0.01,0.0062807569431152,76.58959537572254,0.692
6.0,10.0,5.990242500389562,0.05,0.041976970866695,77.39825581395348,0.9173333333333332
6.0,10.0,5.990242500389562,0.2,0.1287809205142806,77.10280373831776,0.9986666666666668
6.0,10.0,5.990242500389562,0.1,0.0932406781807232,77.30742539902845,0.9606666666666668
6.0,10.0,5.990242500389562,0.15,0.1230847180142639,76.99530516431925,0.994
8.0,10.0,7.996964866732165,0.01,0.0058534459179767,77.12177121771218,0.7226666666666667
8.0,10.0,7.996964866732165,0.05,0.0420046791980439,77.78587035688274,0.9153333333333332
8.0,10.0,7.996964866732165,0.2,0.1271410548050552,77.50333778371161,0.9986666666666668
8.0,10.0,7.996964866732165,0.1,0.0882563050152328,77.80097425191371,0.958
8.0,10.0,7.996964866732165,0.15,0.117121532021602,77.51677852348993,0.9933333333333332
8.0,1.0,7.996964866732165,0.01,0.0073783481467786,77.91469194312796,0.7033333333333334
8.0,1.0,7.996964866732165,0.05,0.0423591954773013,78.05413313825896,0.9113333333333332
8.0,1.0,7.996964866732165,0.2,0.1239384927810565,77.63684913217624,0.9986666666666668
8.0,1.0,7.996964866732165,0.1,0.0857674034345746,77.98611111111111,0.96
8.0,1.0,7.996964866732165,0.15,0.1161817849862199,77.66599597585513,0.994
6.0,1.0,5.990242500389562,0.01,0.0065687040009888,76.8199233716475,0.696
6.0,1.0,5.990242500389562,0.05,0.0440604854602704,77.16994894237783,0.914
6.0,1.0,5.990242500389562,0.2,0.1269153193309454,77.06666666666666,1.0
6.0,1.0,5.990242500389562,0.1,0.0922087696104941,77.27588603196665,0.9593333333333334
6.0,1.0,5.990242500389562,0.15,0.1228606832697548,77.07774798927613,0.9946666666666668
