achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage
9.911035936088483e-01,0.009993115620642035,0.15164365221103254,87,70.69228744406422,0.655
1.499807956444934e+00,0.010045000640846583,0.10919539038622579,177,76.83708527767807,0.672448275862069
1.9997946386991252e+00,0.010003189454052583,0.08019853128968354,248,77.16593973037271,0.6957241379310345
2.4994240815107256e+00,0.010009590113062905,0.0633955087162036,299,78.88299440023577,0.702
2.8831395440072374e+00,0.010005394591151448,0.015199161174509604,392,80.88740600567701,0.6924482758620689
2.8831395440072374e+00,0.010005394591151448,0.015199161174509604,392,80.88740600567701,0.6924482758620689
9.911035936088483e-01,0.01999413071547887,0.15164365221103254,87,71.34456294229044,0.6919310344827586
1.499807956444934e+00,0.019987259094432608,0.10919539038622579,177,77.52001941276389,0.7105172413793104
1.9997946386991252e+00,0.019988649139130926,0.07940108324418556,249,78.43368938462993,0.7295862068965517
2.4994240815107256e+00,0.01998636827815252,0.06104337755599269,306,79.32093023255814,0.7413793103448276
2.8831395440072374e+00,0.01999112916013611,0.019861950217704483,415,82.39529114170355,0.7088620689655173
2.8831395440072374e+00,0.01999112916013611,0.019861950217704483,415,82.39529114170355,0.7088620689655173
9.911035936088483e-01,0.04996549449725517,0.15164365221103254,87,73.37174348697395,0.8259310344827586
1.499807956444934e+00,0.04998740092004818,0.10919539038622579,177,79.4493927125506,0.8517241379310345
1.9997946386991252e+00,0.04997039681142143,0.07725572157491828,262,79.88498861866539,0.8634827586206897
2.4994240815107256e+00,0.04999941267865095,0.053887369782283395,346,82.93650793650794,0.8602758620689656
2.8831395440072374e+00,0.04996392871260173,0.04811886460847725,486,85.75743395584294,0.8105862068965517
2.8831395440072374e+00,0.04996392871260173,0.04811886460847725,486,85.75743395584294,0.8105862068965517
9.911035936088483e-01,0.0977953758114084,0.15164365221103254,87,73.83495145631068,0.9944827586206897
1.499807956444934e+00,0.09932478895247099,0.10919539038622579,177,80.74319657411245,0.9984827586206897
1.9997946386991252e+00,0.09987498152721143,0.09123287031738334,296,82.19216190840491,0.9916206896551724
2.4994240815107256e+00,0.09982782204735792,0.09847094340007564,443,85.06351139725074,0.9908620689655172
2.8831395440072374e+00,0.09986063573703734,0.09935325657537672,616,87.39963154784664,0.9920344827586207
2.8831395440072374e+00,0.09986063573703734,0.09935325657537672,616,87.39963154784664,0.9920344827586207
9.911035936088483e-01,0.10033484920111282,0.15164365221103254,87,73.81075580392563,0.9996206896551724
1.499807956444934e+00,0.09945069405423129,0.10919539038622579,177,80.75862068965517,1.0
1.9997946386991252e+00,0.11299064814599527,0.1186754888647579,301,82.4,1.0
2.4994240815107256e+00,0.1122692796556671,0.12201148874343841,457,85.83005724532727,0.9999310344827587
2.8831395440072374e+00,0.10983654870953688,0.11253918162459105,649,87.79318432671081,0.9997241379310344
2.8831395440072374e+00,0.10983654870953688,0.11253918162459105,649,87.79318432671081,0.9997241379310344
9.911035936088483e-01,0.10022401060259678,0.15164365221103254,87,73.81379310344828,1.0
1.499807956444934e+00,0.09142884004760318,0.1360771085231975,180,79.89310344827587,1.0
1.9997946386991252e+00,0.11373379526314842,0.1291503184607635,303,82.47241379310344,1.0
2.4994240815107256e+00,0.11233587816060975,0.12256409700723235,459,85.34482758620689,1.0
2.8831395440072374e+00,0.10820272260620958,0.11235372944217265,652,88.1103448275862,1.0
2.8831395440072374e+00,0.10820272260620958,0.11235372944217265,652,88.1103448275862,1.0
