achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,student auc,coverage
3.977552047837975,3.0942727236027423e-07,0.012987192893477162,53,69.81132075471699,0.7062687687687688,1.0
3.977552047837975,3.0942727236027423e-07,0.032727781883726825,61,69.81132075471699,0.7177177177177176,1.0
3.977552047837975,3.0942727236027423e-07,0.08225161491168353,74,69.81132075471699,0.7220345345345345,1.0
3.977552047837975,3.0942727236027423e-07,0.08522780693059118,75,69.81132075471699,0.7212837837837839,1.0
1.9709862256676434,3.0942727236027423e-07,0.24999979166684028,13,69.81132075471699,0.6981981981981982,1.0
11.998122570569642,3.0942727236027423e-07,0.013211799086580212,337,69.81132075471699,0.6612237237237237,1.0
13.999269086192806,0.00986613639962404,0.004632584226271663,438,68.87417218543047,0.7567567567567568,0.949685534591195
11.998122570569642,3.0942727236027423e-07,0.008783189593213225,440,69.81132075471699,0.7118993993993995,1.0
15.987401262218874,0.009615649962889772,0.005721015295996612,604,74.61538461538461,0.6861861861861862,0.8176100628930818
15.987401262218874,0.009395421388487257,0.023176846954065522,726,75.79617834394904,0.790352852852853,0.9874213836477987
15.987401262218874,0.0277619479058705,0.029810346388738584,744,74.21383647798743,0.7759009009009009,1.0
15.987401262218874,0.08039352289597756,0.03263670227063209,752,74.84276729559748,0.7661411411411412,1.0
11.998122570569642,0.04447140970974295,0.02049270731336139,459,75.32467532467533,0.6983858858858859,0.9685534591194969
13.999269086192806,0.07945738644386006,0.03643765577167002,576,75.16339869281046,0.7871621621621621,0.9622641509433962
11.998122570569642,0.07692333136082696,0.028399947279073356,473,74.35897435897436,0.6833708708708709,0.9811320754716981
13.999269086192806,0.0034704755586880687,0.043590605268012506,592,74.84276729559748,0.7683933933933933,1.0
5.998223988394665,0.015037592854316327,0.034029180702975004,105,70.58823529411765,0.652027027027027,0.9622641509433962
7.998915185615322,0.02255638928147449,0.00048738774084161607,146,71.24183006535948,0.7192192192192193,0.9622641509433962
9.990810918387986,0.04511277856294898,0.0026738346506814392,225,71.89542483660131,0.7665165165165164,0.9622641509433962
5.998223988394665,0.06766916784442346,0.060344983876523095,121,69.93464052287581,0.6730480480480481,0.9622641509433962
7.998915185615322,0.05263157499010714,0.012226629145656864,190,72.07792207792208,0.7509384384384383,0.9685534591194969
9.990810918387986,0.06015037141726531,0.016246279400161545,276,73.20261437908496,0.774024024024024,0.9622641509433962
5.998223988394665,0.07855974047802927,0.08262221665794134,130,65.0,0.6674174174174174,0.7547169811320755
7.998915185615322,3.0942727236027423e-07,0.03958527882707774,205,69.81132075471699,0.7706456456456456,1.0
9.990810918387986,0.05263157499010714,0.040236522610562875,297,71.69811320754717,0.7742117117117117,1.0
5.998223988394665,0.11278194640737245,0.10125408440652428,139,70.44025157232704,0.6747372372372373,1.0
7.998915185615322,0.05263157499010714,0.069086773946754,225,72.95597484276729,0.7393018018018018,1.0
9.990810918387986,0.05263157499010714,0.061212607218499304,319,71.69811320754717,0.7892267267267268,1.0
15.987401262218874,0.0034704755586880687,0.023176846954065522,726,74.84276729559748,0.7813438438438438,1.0
15.987401262218874,0.029914586242315605,0.023176846954065522,726,75.65789473684211,0.8042417417417418,0.9559748427672956
