achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage
9.911035936088483e-01,0.010147200678018442,,87,71.43644277921649,0.6258275862068966
1.499807956444934e+00,0.010037898441601911,,180,78.44407587851146,0.6653103448275862
1.9997946386991252e+00,0.009998621347606748,,303,78.8554901353166,0.6676551724137931
2.4994240815107256e+00,0.010005439337668995,,459,82.78493343435437,0.6371724137931034
2.8831395440072374e+00,0.009986328668388236,,652,84.62806285023623,0.6276551724137931
2.8831395440072374e+00,0.009986328668388236,,652,84.62806285023623,0.6276551724137931
9.911035936088483e-01,0.05003054089170307,,87,73.7681860138016,0.7845172413793103
1.499807956444934e+00,0.04998104680002553,,180,80.82320690642773,0.8427931034482758
1.9997946386991252e+00,0.04998775234159206,,303,81.17786206615278,0.8454827586206897
2.4994240815107256e+00,0.049988550458318945,,459,84.66897465487028,0.8067931034482758
2.8831395440072374e+00,0.049990706031077414,,652,86.46714378659726,0.795
2.8831395440072374e+00,0.049990706031077414,,652,86.46714378659726,0.795
9.911035936088483e-01,0.09978075341848146,,87,74.16722360969433,0.9803103448275862
1.499807956444934e+00,0.09125405474895704,,180,82.19618415595188,0.9976551724137931
1.9997946386991252e+00,0.09984532921307689,,303,82.64405365955376,0.9922068965517241
2.4994240815107256e+00,0.09984628199734631,,459,86.11226900097263,0.9926896551724138
2.8831395440072374e+00,0.09986431976791421,,652,87.74758496073389,0.9923448275862069
2.8831395440072374e+00,0.09986431976791421,,652,87.74758496073389,0.9923448275862069
9.911035936088483e-01,0.12594756252175576,,87,73.97482324538714,0.9998275862068966
1.499807956444934e+00,0.09368981135649547,,180,82.2,1.0
1.9997946386991252e+00,0.11043362724324196,,303,82.6994034277044,0.9999655172413793
2.4994240815107256e+00,0.10936124340680795,,459,86.17193696334357,0.9999655172413793
2.8831395440072374e+00,0.10909149087964229,,652,87.80134505949302,0.9998275862068966
2.8831395440072374e+00,0.10909149087964229,,652,87.80134505949302,0.9998275862068966
9.911035936088483e-01,0.1259023292136942,,87,73.97931034482758,1.0
1.499807956444934e+00,0.09368981135649547,,180,82.2,1.0
1.9997946386991252e+00,0.11043767266250692,,303,82.7,1.0
2.4994240815107256e+00,0.10936524485412438,,459,86.17241379310344,1.0
2.8831395440072374e+00,0.10906546284921134,,652,87.80344827586207,1.0
2.8831395440072374e+00,0.10906546284921134,,652,87.80344827586207,1.0
