achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage
9.917119012546116e-01,0.009259209552663794,0.6499901750999114,21,67.11833785004517,0.738
3.9994635824158076e+00,0.009995592118682617,0.2578668660640089,202,73.45276872964169,0.8186666666666667
5.989514388481506e+00,0.00919817682694124,0.02860930922700855,370,79.40140845070422,0.7573333333333333
7.99924861299619e+00,0.005999892992729405,0.008593782516853332,593,81.6505706760316,0.7593333333333333
9.99591883622023e+00,0.006556224677531308,0.003926640496228095,838,81.64502164502164,0.77
9.917119012546116e-01,0.01613515195568349,0.6499901750999114,21,67.17131474103586,0.8366666666666667
1.988087676569879e+00,0.010438153690745966,,76,72.55546425636811,0.8113333333333334
3.9994635824158076e+00,0.018343990929627574,0.26923049968868296,216,74.69586374695864,0.822
5.989514388481506e+00,0.01915750270544503,0.03427881935366861,412,79.06224737267583,0.8246666666666667
7.99924861299619e+00,0.01589341482898432,0.021573071088701934,667,81.35179153094462,0.8186666666666667
9.99591883622023e+00,0.014712440932295456,0.012731432773343154,956,82.6157595450853,0.8206666666666667
9.917119012546116e-01,0.046889918243631756,0.6499901750999114,21,66.59619450317125,0.946
3.9994635824158076e+00,0.04785985202255916,0.29184356268882,225,76.21540762902019,0.8913333333333333
5.989514388481506e+00,0.046080935262009404,0.07389282132416025,445,79.7864225781846,0.874
7.99924861299619e+00,0.0470527089708791,0.046103910946945326,719,81.3989239046887,0.8673333333333333
9.99591883622023e+00,0.05349362094038701,0.03981474845802474,1017,80.13493253373314,0.8893333333333333
9.917119012546116e-01,0.06911272786221223,0.6499901750999114,21,66.44340254521099,0.9953333333333333
3.9994635824158076e+00,0.09992994224165352,0.3211172869631395,238,77.2459499263623,0.9053333333333333
5.989514388481506e+00,0.0951046141275324,0.08837456439490932,463,80.49853372434018,0.9093333333333333
7.99924861299619e+00,0.09668548713517,0.0974179395885626,752,81.50887573964496,0.9013333333333333
9.99591883622023e+00,0.09654857619642926,0.08666660075477556,1053,81.68054504163513,0.8806666666666667
9.917119012546116e-01,0.08154771599551683,0.6499901750999114,21,66.53333333333333,1.0
1.988087676569879e+00,0.010438153690745966,0.3001650445680533,76,72.55546425636811,0.8113333333333334
3.9994635824158076e+00,0.14928827863736072,0.33741231118281134,246,77.13690062543434,0.9593333333333334
5.989514388481506e+00,0.1455952909524721,0.12431682911275604,475,79.38071780436313,0.9473333333333334
1.988087676569879e+00,0.02025116380699077,0.3001650445680533,76,72.22641509433963,0.8833333333333333
7.99924861299619e+00,0.14567304185384206,0.14484736932860998,777,82.32359230220955,0.9353333333333333
1.988087676569879e+00,0.04848160194345563,0.3001650445680533,76,72.12518195050946,0.916
9.99591883622023e+00,0.14569219685485751,0.10745230771912084,1082,81.48409893992932,0.9433333333333334
1.988087676569879e+00,0.09924605741256298,0.3001650445680533,76,72.03626220362622,0.956
9.917119012546116e-01,0.08154771599551683,0.6499901750999114,21,66.53333333333333,1.0
1.988087676569879e+00,0.08282942315328862,0.3001650445680533,76,57.666666666666664,1.0
3.9994635824158076e+00,0.19871276484667683,0.33741231118281134,246,77.123745819398,0.9966666666666667
1.988087676569879e+00,0.14418899145803643,0.3001650445680533,76,72.25981055480379,0.9853333333333333
5.989514388481506e+00,0.19649412893218504,0.15636811434861803,479,79.71506105834465,0.9826666666666667
7.99924861299619e+00,0.19564986237405646,0.19507568490942195,788,82.09366391184572,0.968
9.99591883622023e+00,0.19542407319901656,0.14527166813683023,1098,81.71821305841924,0.97
9.917119012546116e-01,0.08154771599551683,0.6499901750999114,21,66.53333333333333,1.0
1.988087676569879e+00,0.08282942315328862,0.3001650445680533,76,57.666666666666664,1.0
3.9994635824158076e+00,0.20261791935485896,0.33741231118281134,246,77.2,1.0
5.989514388481506e+00,0.20231269213809733,0.16362500926162954,480,79.45113788487282,0.996
7.99924861299619e+00,0.24315674632580275,0.20282762383822917,790,81.37188971082716,0.9913333333333333
9.99591883622023e+00,0.20187614383234948,0.18123853269646512,1110,81.76943699731903,0.9946666666666667
