achieved epsilon,fairness gap,number answered,student accuracy,coverage
3.9976669172612285,0.010040148177518707,21133,84.99636648219577,0.6168620689655172
2.9963654142230647,0.010036292356738558,21133,84.31481378697896,0.6212758620689656
1.9959959417193245,0.010012790980931136,21133,84.96932515337423,0.6182758620689656
1.9951916698389156,0.0015506911091317105,320,27.725118483412324,0.014551724137931035
2.9979597637101074,0.003474900535074793,320,29.339853300733495,0.014103448275862069
3.9947022765573643,0.0047619031342909235,320,32.15339233038348,0.011689655172413793
3.998754194921733,0.04997925130235799,26772,86.70668953687822,0.8041379310344827
2.9915493504266495,0.049999477098246245,26772,85.87232960325534,0.8135172413793104
1.9964963425260351,0.049970875241243135,26772,85.2680633108023,0.8213448275862069
3.998156219225793,0.0998467697066007,38876,92.7306132353451,0.9947241379310345
2.9935641684177074,0.09988385157466387,38876,91.92738107611821,0.9952758620689656
1.9933536836978694,0.09988151800090886,38876,90.57622426025264,0.9963793103448276
3.997747555318507,0.10434933513822675,39493,92.83694302662437,0.9998620689655172
2.9952859191460073,0.10421074387528323,39493,92.04110486568503,0.9999655172413793
1.9990447894418475,0.10288815316035635,39493,90.67554053588054,0.9999655172413793
3.997747555318507,0.10490648107838674,39498,92.77241379310345,1.0
2.9952859191460073,0.10399967119668253,39498,91.96896551724137,1.0
1.9990447894418475,0.10262011644360321,39498,90.59310344827587,1.0
3.997747555318507,0.10463607883260867,39499,92.77241379310345,1.0
2.9952859191460073,0.1038672244262124,39499,91.91724137931034,1.0
1.9990447894418475,0.10274705450923552,39499,90.60689655172413,1.0
3.997747555318507,0.10459189026672483,39500,92.83103448275862,1.0
2.9952859191460073,0.10430863437632523,39500,91.99655172413793,1.0
1.9990447894418475,0.1029180622135703,39500,90.65517241379311,1.0
3.997747555318507,0.10459189026672483,39500,92.83103448275862,1.0
2.9952859191460073,0.10430863437632523,39500,91.99655172413793,1.0
1.9990447894418475,0.1029180622135703,39500,90.65517241379311,1.0
3.997747555318507,0.10459189026672483,39500,92.83103448275862,1.0
2.9952859191460073,0.10430863437632523,39500,91.99655172413793,1.0
1.9990447894418475,0.1029180622135703,39500,90.65517241379311,1.0
3.997747555318507,0.10459189026672483,39500,92.83103448275862,1.0
2.9952859191460073,0.10430863437632523,39500,91.99655172413793,1.0
0.9906427698876276,0.00999293278976185,21133,76.27172030027823,0.6568620689655172
0.9980431385594527,0.0499866556488498,26772,80.17342680011346,0.851
0.9908281917574705,0.09451195939451613,39493,84.88275862068966,1.0
1.002279874807802,0.09642869515722335,38876,84.26089059315301,0.9981724137931034
1.4997419271222894,0.009989480243543722,21133,80.27783737395409,0.642896551724138
1.4962781409674808,0.05000291504796778,26772,83.95392331888124,0.8112413793103448
1.4961927936732826,0.10219067520213482,39493,87.17842609835161,0.9999310344827587
2.499620057163131,0.009977528138033556,21133,84.52553120480587,0.6199310344827587
1.4944507381983019,0.0998823186215972,38876,86.94282945736434,0.9964137931034482
2.4955448814412247,0.04997143328152599,26772,87.30868745340526,0.7863103448275862
3.4995716290903283,0.009946310101196232,21133,87.2579529737206,0.5983448275862069
2.494067492691376,0.10213035358116021,39493,89.22721473154246,0.9999655172413793
3.494865882183599,0.0499697480024877,26772,89.06822856120898,0.7712413793103449
2.5008555011170643,0.09985721252068488,38876,89.68418865572409,0.9957931034482759
2.8618065422710015,0.103646519451156,39498,90.84137931034483,1.0
2.4986385924616017,0.010000132392980976,39500,87.70094692798943,0.6263448275862069
