budget,fairgap,achieved_budget,achieved_fairgap,num_answered,accuracy,coverage
1.0,0.01,0.9908281917574705,0.010036594987942848,39500,85.33939070016034,0.6451724137931034
1.0,0.05,0.9908281917574705,0.04999633016443246,39500,87.4065627771443,0.8165172413793104
2.0,0.01,1.9938030391040191,0.009984859787464107,39500,85.19658301055871,0.649896551724138
2.0,0.05,1.9938030391040191,0.049988483467805434,39500,87.18873144965205,0.822551724137931
2.5,0.01,2.494067492691376,0.009979391052353306,39500,85.16495173437997,0.6501379310344828
1.0,0.1,0.9908281917574705,0.09987967307547255,39500,88.79590566429214,0.9971724137931034
1.0,0.15,0.9908281917574705,0.10204197978669645,39500,88.80306217455774,0.9999655172413793
2.5,0.05,2.494067492691376,0.049988184934384894,39500,87.19098298835164,0.8229655172413793
3.0,0.01,2.9968097918893446,0.010040881053747758,39500,85.09398993910511,0.6512068965517241
2.0,0.1,1.9938030391040191,0.09986689195980628,39500,88.59740080188027,0.9976551724137931
2.0,0.15,1.9938030391040191,0.10135770134345047,39500,88.60650367254043,0.9999655172413793
3.0,0.05,2.9968097918893446,0.04996055337290531,39500,87.12834023334588,0.8245862068965517
3.5,0.01,3.4971689405985678,0.010009640111240503,39500,85.09533898305085,0.6510344827586206
2.5,0.1,2.494067492691376,0.09988308366781837,39500,88.57972417130414,0.9976206896551724
2.5,0.15,2.494067492691376,0.10156740356614745,39500,88.58926169867927,0.9999655172413793
3.5,0.05,3.4971689405985678,0.04995631983463744,39500,87.14644351464435,0.8241379310344827
3.0,0.1,2.9968097918893446,0.09986381611588127,39500,88.51166810717372,0.9974137931034482
3.0,0.15,2.9968097918893446,0.10156556244542946,39500,88.51684540846236,0.9999655172413793
3.5,0.1,3.4971689405985678,0.09987652883213607,39500,88.5181855898216,0.9973793103448276
3.5,0.15,3.4971689405985678,0.10163546318632845,39500,88.52374219800683,0.9999655172413793
