budget,fairness_factor,achieved_budget,achieved_fairgap,accuracy,coverage
2.0,1.0,1.993487852713811,0.15692213622587292,74.8,1.0
6.0,0.5,5.991889492829628,0.14030219607596506,79.46666666666667,1.0
2.0,0.0,1.993487852713811,0.15790738876012167,75.33333333333333,1.0
2.0,0.5,1.993487852713811,0.15320674108564092,75.0,1.0
6.0,0.0,5.991889492829628,0.1387419982050344,79.46666666666667,1.0
6.0,1.0,5.991889492829628,0.13232785259369112,79.6,1.0
2.0,1.5,1.993487852713811,0.1707164184130726,76.8,1.0
6.0,1.5,5.991889492829628,0.1426810160218323,79.26666666666667,1.0
8.0,0.5,7.998607168140848,0.12182059660766498,80.33333333333333,1.0
4.0,0.0,3.9937955895312003,0.12320744035097508,77.93333333333334,1.0
4.0,0.5,3.9937955895312003,0.12400680085617605,78.13333333333334,1.0
8.0,0.0,7.998607168140848,0.1363824398289028,80.73333333333333,1.0
4.0,1.0,3.9937955895312003,0.13929095830367222,78.06666666666666,1.0
4.0,1.5,3.9937955895312003,0.13053651588593296,78.66666666666667,1.0
8.0,1.0,7.998607168140848,0.1315477536582258,80.6,1.0
8.0,1.5,7.998607168140848,0.13240489887263363,80.8,1.0
6.0,5.0,5.9942923502915955,0.1811658896898919,80.6,1.0
10.0,0.5,9.991698954560722,0.13297312054100707,80.73333333333333,1.0
10.0,0.0,9.991698954560722,0.14102451030222352,80.86666666666666,1.0
2.0,5.0,1.994120411988531,0.16496680231878091,76.2,1.0
10.0,1.5,9.991698954560722,0.13854938250767812,81.2,1.0
10.0,1.0,9.991698954560722,0.13936800458261472,80.86666666666666,1.0
8.0,5.0,7.991295714569047,0.15389132466438127,81.53333333333333,1.0
4.0,5.0,3.9973542273998532,0.17869076189534655,79.86666666666666,1.0
10.0,5.0,9.993441943136155,0.14673560325704393,81.06666666666666,1.0
6.0,10.0,5.990762615479111,0.13026685390963433,70.8,1.0
8.0,10.0,7.99349474031895,0.1355638177539662,70.8,1.0
10.0,10.0,9.999000524350944,0.12210952015369936,69.8,1.0
2.0,10.0,1.9954578233508884,0.11753357916159013,67.73333333333333,1.0
1.0,10.0,0.996348996597392,0.03228260532380816,54.8,1.0
4.0,10.0,3.9983591568603845,0.14589771961237175,70.86666666666666,1.0
1.0,5.0,0.9941648108610162,0.13873110021495572,70.13333333333334,1.0
1.0,0.0,0.9941648108610162,0.1333855399108792,70.53333333333333,1.0
