epsilon,violation,accuracy,coverage
1.9942171021382908,0.0093352797765005,62.13841083852069,0.9103333333333332
2.991178004491184,0.0098200471780761,68.41521980051718,0.9023333333333332
3.995904035498066,0.0075071287770339,76.46627565982405,0.9093333333333332
4.9910618059072105,0.0083891583339796,79.07869481765835,0.8683333333333333
5.989403037307992,0.0085507889478022,82.7977315689981,0.8816666666666667
6.985618250126051,0.007889610337023,83.92523364485982,0.8916666666666667
7.998963464411942,0.0085202495557626,84.57466918714556,0.8816666666666667
1.9942171021382908,0.0455194400863165,62.29796205200281,0.9486666666666668
8.998046749940789,0.0084376718959401,85.41353383458646,0.8866666666666667
2.991178004491184,0.0497033842332223,68.88111888111888,0.9533333333333334
3.9980142719495815,0.0459571621671846,79.86553432413305,0.942
4.997807815044721,0.0483870979239445,80.64516129032258,0.9093333333333332
5.994940941107284,0.0470125650531988,83.62783988460151,0.9243333333333332
1.9942171021382908,0.0889383335438265,62.55020080321285,0.996
2.983359787800847,0.0272007778423627,62.17391304347826,0.9966666666666668
7.994954216214179,0.0483481842682873,84.73762010347376,0.902
3.99991324023152,0.0858519486770796,80.81815056720522,0.9696666666666668
0.9594304018205736,0.0003930005436696,54.21807269089697,0.9996666666666668
8.99770067862974,0.048482163659229,85.35170413343002,0.9193333333333332
1.9942171021382908,0.0923619331878008,62.5,1.0
4.983228794873874,0.0718935284747494,82.97076818490822,0.9806666666666668
9.98843188767202,0.0486424953064711,85.19051042415528,0.9273333333333332
0.9594304018205736,0.0005394942803536,54.2,1.0
6.999099559190081,0.0902994106063016,85.35911602209944,0.9653333333333334
3.995629717774276,0.1195102335216013,79.32531730126921,0.998
2.9970497525578983,0.0379205919513427,66.9,1.0
4.985876126084555,0.1090667787530839,83.32201086956522,0.9813333333333332
8.992818433987058,0.0897013136808015,84.06896551724138,0.9666666666666668
5.992566104239127,0.1226970533906892,83.97177419354838,0.992
3.9884391793979184,0.116714779465504,76.3,1.0
9.997837184501186,0.0984512790570182,86.06331727460427,0.9686666666666668
6.9943677706989895,0.1193279113882716,84.5788043478261,0.9813333333333332
4.999275310067725,0.1310444376218195,82.5,1.0
7.996439979284331,0.1315468680900215,85.11283260357023,0.9896666666666668
5.986967091674881,0.1317400979261734,83.66666666666667,1.0
9.988702030731726,0.1226519322753342,85.75737265415549,0.9946666666666668
