epsilon,violation,accuracy,coverage
1.4825561317367195,0.1358696330801601,69.06666666666666,1.0
2.994979508757028,0.2164798642162238,77.2,1.0
3.990764019085204,0.2474620630871796,77.8,1.0
2.9886484973518934,0.21009508307213,76.6,1.0
2.993369319185674,0.2047838459299078,76.06666666666666,1.0
2.978412875677746,0.1717298887053456,75.73333333333333,1.0
3.998492876781878,0.2102645891554049,79.2,1.0
3.992188007569239,0.2044071648324418,77.53333333333333,1.0
4.984155378000436,0.2383086606850741,79.93333333333334,1.0
4.994410502656485,0.2357095455103372,79.8,1.0
5.996206342245049,0.2352951954819551,79.66666666666667,1.0
5.996868312859903,0.1315526809890732,75.13333333333334,1.0
5.997002560485482,0.2450136236361073,80.33333333333333,1.0
6.996970535599935,0.2263112991631244,81.06666666666666,1.0
6.99621700785727,0.2344853257848011,81.46666666666667,1.0
6.991660125105236,0.230624321953612,81.0,1.0
9.996913562746975,0.1874375783348199,77.2,1.0
7.988103430477986,0.2095677262509994,81.53333333333333,1.0
7.990101055644777,0.2162726892020327,82.46666666666667,1.0
8.652458102922589,0.2390808614513119,82.53333333333333,1.0
