epsilon,violation,accuracy,coverage
3.999463582415808,0.2227893074984851,77.26666666666667,1.0
6.991048702610226,0.2406252629837876,80.0,1.0
8.994491839511777,0.2335059500043722,81.6,1.0
9.99591883622023,0.2275731878195767,81.26666666666667,1.0
2.996736092314156,0.2031997823549258,75.73333333333333,1.0
3.999463582415808,0.1904698821092446,74.46666666666667,1.0
2.996736092314156,0.2133910611512725,76.8,1.0
9.99591883622023,0.2363122401933001,81.13333333333334,1.0
6.991048702610226,0.2563517911845677,80.73333333333333,1.0
4.998354923543991,0.2768810300660496,79.53333333333333,1.0
5.989514388481506,0.2324889052930271,79.86666666666666,1.0
8.994491839511777,0.2280628757097912,81.26666666666667,1.0
9.99591883622023,0.2398907311484659,81.26666666666667,1.0
8.994491839511777,0.2445239357458929,81.53333333333333,1.0
9.99591883622023,0.2350503515368479,80.8,1.0
