epsilon,violation,accuracy,coverage
3.999463582415808,0.0053224991868294,48.86666666666667,1.0
1.988087676569879,0.086010308484099,55.66666666666666,1.0
5.989514388481506,0.0100965451367054,51.06666666666667,1.0
7.99924861299619,0.0197467841233052,52.46666666666667,1.0
7.99924861299619,0.1903003760259697,75.46666666666667,1.0
3.999463582415808,0.1950089184852291,75.73333333333333,1.0
1.988087676569879,0.1618984537584449,72.26666666666667,1.0
5.989514388481506,0.2139560869033192,77.33333333333333,1.0
5.989514388481506,0.2583858806072578,79.66666666666667,1.0
7.99924861299619,0.1924851411723245,80.93333333333334,1.0
3.999463582415808,0.11482740160092,68.06666666666666,1.0
7.99924861299619,0.2586683934832812,81.6,1.0
5.989514388481506,0.1137631395975737,64.2,1.0
7.99924861299619,0.0041152261680976,51.4,1.0
9.99591883622023,0.1443591362156975,68.46666666666667,1.0
