epsilon,violation,accuracy,coverage
0.9941648108610162,0.1333855399108792,70.53333333333333,1.0
1.993487852713811,0.1579073887601216,75.33333333333333,1.0
3.9937955895312,0.123207440350975,77.93333333333334,1.0
5.991889492829628,0.1387419982050344,79.46666666666667,1.0
7.998607168140848,0.1363824398289028,80.73333333333333,1.0
9.991698954560722,0.1410245103022235,80.86666666666666,1.0
9.996881175006632,0.11796826121585,77.0,1.0
9.996881175006632,0.1237178773101416,78.66666666666667,1.0
3.991270020313563,0.1077982761806484,74.66666666666667,1.0
1.9923494021126125,0.1254899524481642,72.8,1.0
3.991270020313563,0.1115155924650355,74.73333333333333,1.0
1.9923494021126125,0.1043791326274338,72.26666666666667,1.0
