achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage,sigma1,sigma2,threshold
1.9900386637816347e+00,0.014423839483493017,0.3508750261692936,60,74.27652733118971,0.8293333333333334,40.0,15.0,50.0
2.9980229739358393e+00,0.008928517662280089,0.22782218802868648,140,78.61952861952862,0.792,40.0,15.0,50.0
3.9832768430772223e+00,0.008199326336514878,0.11485807868605225,229,78.14784727863525,0.8206666666666667,40.0,15.0,50.0
4.979412901005157e+00,0.01023138278127178,0.030033949145658823,323,80.21086780210868,0.822,40.0,15.0,50.0
5.985063125852397e+00,0.008874576272763446,0.01030629375296055,480,79.85436893203884,0.824,40.0,15.0,50.0
6.9936508973726434e+00,0.010314564434565243,0.010375447045294472,620,80.58091286307054,0.8033333333333333,40.0,15.0,50.0
1.9900386637816347e+00,0.0507828133758389,0.3508750261692936,60,74.86988847583643,0.8966666666666666,40.0,15.0,50.0
7.990844567860712e+00,0.009002691822115994,0.014035094202330956,765,81.92182410423453,0.8186666666666667,40.0,15.0,50.0
2.9783375222618664e+00,0.05177311814146596,0.28171997763935647,139,77.91898332009531,0.8393333333333334,40.0,15.0,50.0
8.72624688810856e+00,0.01007938511126727,0.005276064401928182,875,83.37368845843422,0.826,40.0,15.0,50.0
8.72624688810856e+00,0.01007938511126727,0.005276064401928182,875,83.37368845843422,0.826,40.0,15.0,50.0
3.9816719005375676e+00,0.044765480797853585,0.12499982872602139,240,77.63061074319353,0.906,40.0,15.0,50.0
4.984885582751872e+00,0.053291695051169374,0.06462566349676346,322,79.74963181148748,0.9053333333333333,40.0,15.0,50.0
1.9900386637816347e+00,0.08904893614874498,0.3508750261692936,60,74.679029957204,0.9346666666666666,40.0,15.0,50.0
5.986510408551178e+00,0.04914116478272934,0.12664154781559045,446,80.24786986831913,0.8606666666666667,40.0,15.0,50.0
2.988952096218459e+00,0.09960216091851726,0.25906135745691106,148,79.06110283159464,0.8946666666666667,40.0,15.0,50.0
3.996691612468916e+00,0.09447910951936483,0.18376602504224665,248,79.79797979797979,0.924,40.0,15.0,50.0
6.992183110003245e+00,0.04835320588194869,0.045843713531327435,604,79.18518518518519,0.9,40.0,15.0,50.0
1.9900386637816347e+00,0.12868921642017545,0.3508750261692936,60,73.99317406143345,0.9766666666666667,40.0,15.0,50.0
4.983005024714384e+00,0.09783912317094723,0.1659513174965877,314,81.23636363636363,0.9166666666666666,40.0,15.0,50.0
7.99019956760055e+00,0.04686043918205618,0.04895458657825119,763,81.87919463087249,0.894,40.0,15.0,50.0
2.988952096218459e+00,0.14562703410941114,0.25104994402576625,150,78.34757834757835,0.936,40.0,15.0,50.0
8.999103144362133e+00,0.047395363352135234,0.04780176391972102,927,81.53387937453462,0.8953333333333333,40.0,15.0,50.0
5.991520915077168e+00,0.09917914400521516,0.12881012196335584,467,80.1616458486407,0.9073333333333333,40.0,15.0,50.0
9.682963483586393e+00,0.04829908654370357,0.043871019999482286,1046,82.65682656826569,0.9033333333333333,40.0,15.0,50.0
3.9991548360613915e+00,0.13008776467874983,0.1529939046875518,241,80.01373626373626,0.9706666666666667,40.0,15.0,50.0
1.9900386637816347e+00,0.15452667181392965,0.3508750261692936,60,73.71581054036024,0.9993333333333333,40.0,15.0,50.0
4.989503282793539e+00,0.14453150851301577,0.14882141401277932,337,81.09243697478992,0.952,40.0,15.0,50.0
6.999561510704329e+00,0.08534284329038416,0.09102306705221547,619,80.74981975486662,0.9246666666666666,40.0,15.0,50.0
2.9974375198727534e+00,0.18711795477606963,0.264285236224852,154,77.96842827728209,0.9713333333333334,40.0,15.0,50.0
1.9900386637816347e+00,0.15566584031157948,0.3508750261692936,60,73.73333333333333,1.0,40.0,15.0,50.0
3.999542541362679e+00,0.1847850075986105,0.24498786778452253,245,79.30327868852459,0.976,40.0,15.0,50.0
7.998178953932996e+00,0.09359976610998466,0.09612571932404601,776,81.62973552537527,0.9326666666666666,40.0,15.0,50.0
5.990248881756842e+00,0.1361148324191777,0.11283034303335254,478,80.38674033149171,0.9653333333333334,40.0,15.0,50.0
4.999757439703196e+00,0.19222431563635373,0.16817692037281745,340,80.77183480027082,0.9846666666666667,40.0,15.0,50.0
2.99750958353545e+00,0.22675510555470157,0.23781236209456968,149,76.73469387755102,0.98,40.0,15.0,50.0
8.998231378634069e+00,0.09538087352203828,0.07878783475666185,950,82.23495702005731,0.9306666666666666,40.0,15.0,50.0
1.9900386637816347e+00,0.15566584031157948,0.3508750261692936,60,73.73333333333333,1.0,40.0,15.0,50.0
3.998715971206762e+00,0.21873455370593659,0.24250606182926832,239,78.90466531440163,0.986,40.0,15.0,50.0
9.995594013522702e+00,0.09407651581134457,0.09808717168426434,1119,82.31098430813124,0.9346666666666666,40.0,15.0,50.0
6.986424782248438e+00,0.1265688138212227,0.14427729536630407,615,78.28725556304788,0.9886666666666667,40.0,15.0,50.0
2.9915124911557536e+00,0.22005095931002738,0.2966151632445447,148,78.50467289719626,0.9986666666666667,40.0,15.0,50.0
5.985816524306452e+00,0.17457803210063988,0.147343503445785,481,80.33783783783784,0.9866666666666667,40.0,15.0,50.0
4.993797820766553e+00,0.21101996433881165,0.1940787955549254,342,80.09414929388029,0.9913333333333333,40.0,15.0,50.0
7.999227586862888e+00,0.1411658224357168,0.14339263480623032,779,80.98885793871867,0.9573333333333334,40.0,15.0,50.0
3.9985630208505842e+00,0.21598765022316063,0.20421994747623984,243,78.66666666666667,1.0,40.0,15.0,50.0
8.998358265685145e+00,0.1342218074910127,0.11871636180685963,932,80.84663428174879,0.9606666666666667,40.0,15.0,50.0
