threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
50.0,0.0,15.0,40.0,1.0,0.9660241297378942,92.85714285714286,0.14285693877580175,14.391551147536983,14,[ 83.33333333 100.         100.         100.         100.        ]
50.0,0.0,15.0,40.0,2.0,1.9900386637816347,90.0,0.3508750261692936,58.33155076078709,60,[ 93.5483871   78.57142857 100.          88.88888889 100.        ]
50.0,0.0,15.0,40.0,3.0,2.9964198578339305,88.1118881118881,0.22425206496097722,148.53304595095202,143,[ 90.76923077  85.71428571 100.          78.94736842  83.33333333]
50.0,0.0,15.0,40.0,4.0,3.9986311551570903,88.69565217391305,0.09743575177989172,240.72265204548157,230,[ 90.72164948  86.20689655 100.          81.25        84.21052632]
50.0,0.0,15.0,40.0,5.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.0,15.0,40.0,6.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.0,15.0,40.0,7.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.0,15.0,40.0,8.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.0,15.0,40.0,9.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.0,15.0,40.0,10.0,4.635066021118096,86.91588785046729,0.0024255167309616965,300.28468993157855,321,[86.5248227  82.89473684 94.87179487 86.04651163 90.90909091]
50.0,0.05,15.0,40.0,1.0,0.9660241297378942,92.85714285714286,0.14285693877580175,14.391551147536983,14,[ 83.33333333 100.         100.         100.         100.        ]
50.0,0.05,15.0,40.0,2.0,1.9900386637816347,90.0,0.3508750261692936,58.33155076078709,60,[ 93.5483871   78.57142857 100.          88.88888889 100.        ]
50.0,0.05,15.0,40.0,3.0,2.9799091782294163,87.16216216216216,0.19642782079179077,148.7088839150911,148,[ 86.56716418  89.18918919 100.          78.94736842  83.33333333]
50.0,0.05,15.0,40.0,4.0,3.998935143768689,86.45418326693228,0.15066770609258195,250.72652209553405,251,[85.18518519 90.         88.88888889 83.33333333 85.        ]
50.0,0.05,15.0,40.0,5.0,4.991215479953317,86.1963190184049,0.11123476494173845,339.2196405228236,326,[88.11188811 88.31168831 84.61538462 79.06976744 83.33333333]
50.0,0.05,15.0,40.0,6.0,5.998028055867322,85.99562363238512,0.0946253371613921,472.00708313124727,457,[88.71794872 82.82828283 87.71929825 83.09859155 82.85714286]
50.0,0.05,15.0,40.0,7.0,6.990239284667968,87.28139904610492,0.05805791091116913,628.6377274000733,629,[86.41509434 87.69230769 92.59259259 84.54545455 88.37209302]
50.0,0.05,15.0,40.0,8.0,7.987004179646085,87.29729729729729,0.04696896169608761,763.6979555361925,740,[87.89808917 90.         83.33333333 86.17886179 86.2745098 ]
50.0,0.05,15.0,40.0,9.0,8.99144806781456,87.15203426124197,0.048146387631055776,927.8580938946195,934,[88.45144357 84.26395939 88.72180451 87.89808917 83.33333333]
50.0,0.05,15.0,40.0,10.0,9.703482880373215,87.7511961722488,0.041712521308292616,1049.4677847163239,1045,[86.83602771 86.44859813 93.24324324 87.86127168 85.71428571]
50.0,0.1,15.0,40.0,1.0,0.9660241297378942,92.85714285714286,0.14285693877580175,14.391551147536983,14,[ 83.33333333 100.         100.         100.         100.        ]
50.0,0.1,15.0,40.0,2.0,1.9900386637816347,90.0,0.3508750261692936,58.33155076078709,60,[ 93.5483871   78.57142857 100.          88.88888889 100.        ]
50.0,0.1,15.0,40.0,3.0,2.9799091782294163,87.24832214765101,0.19237513595835842,148.7088839150911,149,[ 89.70588235  86.48648649 100.          78.94736842  75.        ]
50.0,0.1,15.0,40.0,4.0,3.9984256278950285,87.55186721991701,0.19470382498507482,241.72288634878325,241,[87.37864078 86.44067797 91.66666667 88.57142857 85.        ]
50.0,0.1,15.0,40.0,5.0,4.995093067396947,86.86567164179104,0.20334912447106251,349.87667434063843,335,[85.13513514 85.71428571 97.43589744 84.7826087  88.        ]
50.0,0.1,15.0,40.0,6.0,5.997903840572958,86.01694915254237,0.12939781868497424,481.6701753062354,472,[88.55721393 80.39215686 91.52542373 82.43243243 86.11111111]
50.0,0.1,15.0,40.0,7.0,6.99416376952782,87.39770867430443,0.09272559364341515,620.8279567199967,611,[85.60311284 87.4015748  92.5        86.79245283 90.24390244]
50.0,0.1,15.0,40.0,8.0,7.996483989359346,87.24489795918367,0.09694641634110462,776.1303040742079,784,[85.58282209 88.55421687 86.23853211 87.69230769 94.33962264]
