threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
30.0,0.0,10.0,20.0,16.0,4.371156145668531,76.40449438202248,0.0015722896229884986,73.19718981818797,89,[74.28571429 84.21052632]
30.0,0.05,10.0,20.0,16.0,15.993410344912832,79.57839262187088,0.032836814247706514,764.1942276834778,759,[79.42583732 80.3030303 ]
30.0,0.1,10.0,20.0,16.0,15.988190793999184,78.92030848329048,0.043064272743961574,766.033276558048,778,[77.63975155 85.07462687]
30.0,0.15,10.0,20.0,16.0,15.99340727718393,79.5,0.05602753653019177,771.6560397390543,800,[78.76506024 83.08823529]
30.0,0.2,10.0,20.0,16.0,15.995863751730589,79.3854033290653,0.05342048403267616,776.9469572720294,781,[79.9072643  76.86567164]
30.0,0.25,10.0,20.0,16.0,15.99979710000612,80.0771208226221,0.058807147362390816,778.0862727011023,778,[79.65838509 82.08955224]
30.0,0.3,10.0,20.0,16.0,15.99641960189696,79.1025641025641,0.05074742530696888,776.6541092588915,780,[78.94736842 79.85074627]
30.0,0.35,10.0,20.0,16.0,15.999434590686779,78.94736842105263,0.040408749879534994,777.4591604293464,779,[77.82945736 84.32835821]
30.0,0.4,10.0,20.0,16.0,15.999434590686779,78.94736842105263,0.040408749879534994,777.4591604293464,779,[77.82945736 84.32835821]
30.0,0.45,10.0,20.0,16.0,15.999434590686779,78.94736842105263,0.040408749879534994,777.4591604293464,779,[77.82945736 84.32835821]
30.0,0.5,10.0,20.0,16.0,15.999434590686779,78.94736842105263,0.040408749879534994,777.4591604293464,779,[77.82945736 84.32835821]
25.0,0.0,10.0,20.0,16.0,4.318181168758203,72.94117647058823,0.00850336891844422,73.21392006887447,85,[76.47058824 58.82352941]
25.0,0.05,10.0,20.0,16.0,15.997039422419341,77.73677736777368,0.016023827146873865,769.6195709667616,813,[77.18518519 80.43478261]
25.0,0.1,10.0,20.0,16.0,15.992400684181316,77.98277982779828,0.015046255881937198,768.3952885785362,813,[78.66666667 74.63768116]
25.0,0.15,10.0,20.0,16.0,15.982155372372908,79.72116603295311,0.01758278953807596,772.4021905783951,789,[79.20489297 82.22222222]
25.0,0.2,10.0,20.0,16.0,15.9968351238604,78.93401015228426,0.036838595712963634,771.9123595741028,788,[79.47932619 76.2962963 ]
25.0,0.25,10.0,20.0,16.0,15.996433010540223,78.59872611464968,0.005818167203968327,776.2875416326951,785,[78.49462366 79.10447761]
25.0,0.3,10.0,20.0,16.0,15.997544604425325,78.8265306122449,0.049626689783632744,777.3823015788921,784,[78.61538462 79.85074627]
25.0,0.35,10.0,20.0,16.0,15.9998164544124,78.97435897435898,0.026625937738231215,776.4147783762129,780,[78.6377709  80.59701493]
25.0,0.4,10.0,20.0,16.0,15.9998164544124,78.97435897435898,0.026625937738231215,776.4147783762129,780,[78.6377709  80.59701493]
25.0,0.45,10.0,20.0,16.0,15.9998164544124,78.97435897435898,0.026625937738231215,776.4147783762129,780,[78.6377709  80.59701493]
25.0,0.5,10.0,20.0,16.0,15.9998164544124,78.97435897435898,0.026625937738231215,776.4147783762129,780,[78.6377709  80.59701493]
27.5,0.0,10.0,20.0,16.0,4.332308048915895,72.34042553191489,0.002797173599373648,72.85776904301844,94,[73.33333333 68.42105263]
27.5,0.05,10.0,20.0,16.0,15.99839497506197,78.75776397515529,0.015501099285070846,772.1892098290677,805,[78.92376682 77.94117647]
27.5,0.1,10.0,20.0,16.0,15.983999587621874,78.43137254901961,0.030143067564285864,775.2082493099464,816,[77.72861357 81.88405797]
27.5,0.15,10.0,20.0,16.0,15.99326670269015,78.22878228782288,0.05059018429980208,778.0793893911524,813,[78.22222222 78.26086957]
27.5,0.2,10.0,20.0,16.0,15.981330399337132,78.1908302354399,0.037882042998430954,770.5463064672056,807,[78.95522388 74.45255474]
27.5,0.25,10.0,20.0,16.0,15.996859814378034,78.57142857142857,0.04576230509922616,773.360385992653,798,[78.39879154 79.41176471]
27.5,0.3,10.0,20.0,16.0,15.996262144863163,78.3989834815756,0.019456177484953235,775.2179554714568,787,[78.6809816  77.03703704]
27.5,0.35,10.0,20.0,16.0,15.998771545828685,77.49360613810742,0.052309966231197935,774.2534013608314,782,[78.39506173 73.13432836]
27.5,0.4,10.0,20.0,16.0,15.998771545828685,77.49360613810742,0.052309966231197935,774.2534013608314,782,[78.39506173 73.13432836]
27.5,0.45,10.0,20.0,16.0,15.998771545828685,77.49360613810742,0.052309966231197935,774.2534013608314,782,[78.39506173 73.13432836]
27.5,0.5,10.0,20.0,16.0,15.998771545828685,77.49360613810742,0.052309966231197935,774.2534013608314,782,[78.39506173 73.13432836]
32.5,0.0,10.0,20.0,16.0,4.5319423983078915,76.47058823529412,0.00857139012246716,76.9807801881306,85,[77.94117647 70.58823529]
32.5,0.05,10.0,20.0,16.0,15.998393007326047,78.96774193548387,0.010475930458294813,751.8566860323156,775,[79.87519501 74.62686567]
32.5,0.1,10.0,20.0,16.0,15.989211316257226,78.90724269377382,0.027159979564811226,753.9125912220017,787,[78.83435583 79.25925926]
32.5,0.15,10.0,20.0,16.0,15.995190995445146,79.26675094816687,0.029076921188710164,763.2417775583201,791,[78.35365854 83.7037037 ]
32.5,0.2,10.0,20.0,16.0,15.998209121800453,80.125,0.0323818780432501,766.5481419019342,800,[80.12048193 80.14705882]
32.5,0.25,10.0,20.0,16.0,15.985830683092903,79.48717948717949,0.03349350345554425,766.8258822210679,780,[78.17337461 85.82089552]
32.5,0.3,10.0,20.0,16.0,15.998712439062583,79.44162436548223,0.05087177748573621,771.9875281150581,788,[78.7136294  82.96296296]
32.5,0.35,10.0,20.0,16.0,15.995929163790144,80.17789072426937,0.07954076560742196,773.690747172675,787,[80.52147239 78.51851852]
32.5,0.4,10.0,20.0,16.0,15.995929163790144,80.17789072426937,0.07954076560742196,773.690747172675,787,[80.52147239 78.51851852]
32.5,0.45,10.0,20.0,16.0,15.995929163790144,80.17789072426937,0.07954076560742196,773.690747172675,787,[80.52147239 78.51851852]
32.5,0.5,10.0,20.0,16.0,15.995929163790144,80.17789072426937,0.07954076560742196,773.690747172675,787,[80.52147239 78.51851852]
35.0,0.0,10.0,20.0,16.0,4.5883165562134645,73.80952380952381,2.8935171092481227e-08,76.93942437132043,84,[70.14925373 88.23529412]
35.0,0.05,10.0,20.0,16.0,15.998796221715214,79.31488801054019,0.006607588407141679,741.9937091193452,759,[79.10685805 80.3030303 ]
35.0,0.1,10.0,20.0,16.0,15.99413253308629,80.49738219895288,0.028203599333290336,744.1581863155664,764,[81.01265823 78.03030303]
35.0,0.15,10.0,20.0,16.0,15.999429873483894,79.6078431372549,0.04387498180445479,746.7424117308856,765,[79.58860759 79.69924812]
35.0,0.2,10.0,20.0,16.0,15.999892376858078,80.10471204188482,0.036913725922896656,751.6460056677106,764,[80.06329114 80.3030303 ]
35.0,0.25,10.0,20.0,16.0,15.98902468278808,79.76501305483029,0.04035430001280707,751.55372558394,766,[80.88467615 74.43609023]
35.0,0.3,10.0,20.0,16.0,15.996348655397654,80.67885117493472,0.05957682586263044,753.774504226086,766,[79.93680885 84.21052632]
35.0,0.35,10.0,20.0,16.0,15.99343475607946,79.45383615084525,0.06808013505447646,756.2004357400995,769,[80.34591195 75.18796992]
