threshold,max fairness violation,sigma gnmax,sigma threshold,budget,achieved budget,accuracy,fairness disparity gaps,expected number answered,number answered,sensitive accuracy
30.0,0.0,10.0,30.0,10.0,7.135967663175847,83.80952380952381,-1.3888883487744863e-07,214.5895799302424,210,"[87.17948718 81.08108108 73.07692308 89.18918919 80.95238095 81.48148148
 91.30434783]"
30.0,0.05,10.0,30.0,10.0,9.999822346288045,84.0909090909091,0.04671773429938997,399.3898054407047,396,"[81.53846154 81.69014085 77.55102041 90.76923077 88.88888889 84.61538462
 82.5       ]"
30.0,0.1,10.0,30.0,10.0,9.990927812835473,84.1025641025641,0.09738417063997779,407.77319199120905,390,"[76.5625     81.69014085 79.16666667 87.5        92.30769231 82.35294118
 92.5       ]"
30.0,0.15,10.0,30.0,10.0,9.997709610208467,84.29319371727749,0.12425095383878987,401.21285558202214,382,"[80.64516129 78.57142857 85.41666667 85.9375     95.83333333 76.47058824
 92.30769231]"
30.0,0.2,10.0,30.0,10.0,9.989891030535677,84.49197860962566,0.12485017463026443,394.3889660197501,374,"[85.48387097 75.         91.4893617  87.09677419 89.36170213 82.
 84.21052632]"
30.0,0.25,10.0,30.0,10.0,9.989891030535677,84.08488063660478,0.13835643789171131,394.3889660197501,377,"[79.03225806 77.94117647 91.66666667 79.36507937 91.4893617  84.31372549
 92.10526316]"
30.0,0.3,10.0,30.0,10.0,9.989891030535677,84.12698412698413,0.13961050027301836,394.3889660197501,378,"[80.64516129 82.35294118 83.33333333 84.12698413 87.5        86.2745098
 86.84210526]"
30.0,0.35,10.0,30.0,10.0,9.989891030535677,84.12698412698413,0.13961050027301836,394.3889660197501,378,"[80.64516129 82.35294118 83.33333333 84.12698413 87.5        86.2745098
 86.84210526]"
30.0,0.4,10.0,30.0,10.0,9.989891030535677,84.12698412698413,0.13961050027301836,394.3889660197501,378,"[80.64516129 82.35294118 83.33333333 84.12698413 87.5        86.2745098
 86.84210526]"
30.0,0.45,10.0,30.0,10.0,9.989891030535677,84.12698412698413,0.13961050027301836,394.3889660197501,378,"[80.64516129 82.35294118 83.33333333 84.12698413 87.5        86.2745098
 86.84210526]"
30.0,0.5,10.0,30.0,10.0,9.989891030535677,84.12698412698413,0.13961050027301836,394.3889660197501,378,"[80.64516129 82.35294118 83.33333333 84.12698413 87.5        86.2745098
 86.84210526]"
32.5,0.0,10.0,30.0,10.0,7.120825436018181,84.43396226415095,-1.2847217495393082e-07,214.70839034116347,212,"[90.         70.27027027 88.46153846 83.78378378 90.47619048 85.71428571
 86.95652174]"
32.5,0.05,10.0,30.0,10.0,9.98894109474248,84.9624060150376,0.03391855953020739,398.6682897565941,399,"[92.42424242 75.         87.75510204 89.39393939 85.18518519 82.69230769
 82.5       ]"
