achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage,sigma1,sigma2,threshold
1.9997946386991252e+00,0.010016868790081734,0.1291503184607635,303,78.18911232988016,0.6790344827586207,110.0,20.0,120.0
1.9997946386991252e+00,0.09987661297222392,0.1291503184607635,303,82.23970480732412,0.9905862068965517,110.0,20.0,120.0
1.9997946386991252e+00,0.11348542783672161,0.1291503184607635,303,82.31379310344828,1.0,110.0,20.0,120.0
1.9997946386991252e+00,0.11348542783672161,0.1291503184607635,303,82.31379310344828,1.0,110.0,20.0,120.0
1.9997946386991252e+00,0.11348542783672161,0.1291503184607635,303,82.31379310344828,1.0,110.0,20.0,120.0
2.8771780226583035e+00,0.009978575473421167,0.09779825590128922,625,85.59823155567837,0.6239655172413793,110.0,20.0,120.0
2.35124565203288e+00,0.010038148829357926,0.015199161174509604,392,81.38452886139373,0.674448275862069,110.0,20.0,120.0
2.5572085345220055e+00,0.04997144777409104,0.04811886460847725,486,86.39657020364416,0.8043103448275862,110.0,20.0,120.0
2.8488108771003935e+00,0.09984286083492326,0.09935325657537672,616,88.21000069352937,0.9944137931034482,110.0,20.0,120.0
2.35124565203288e+00,0.010038148829357926,0.015199161174509604,392,81.38452886139373,0.674448275862069,110.0,20.0,120.0
1.9952517041819182e+00,0.010025368549955033,0.07509944656372988,273,77.67425463336019,0.6846896551724138,110.0,20.0,120.0
2.8726682696056374e+00,0.1084434895832156,0.11253918162459105,649,88.4984135742861,0.9998620689655172,110.0,20.0,120.0
2.5572085345220055e+00,0.04997144777409104,0.04811886460847725,486,86.39657020364416,0.8043103448275862,110.0,20.0,120.0
1.9947340648436374e+00,0.04995474152405677,0.06656791053783737,299,82.32356857523303,0.8286896551724138,110.0,20.0,120.0
2.8831395440072374e+00,0.11030155342214493,0.11235372944217265,652,88.11724137931034,1.0,110.0,20.0,120.0
2.8488108771003935e+00,0.09984286083492326,0.09935325657537672,616,88.21000069352937,0.9944137931034482,110.0,20.0,120.0
1.9945086425557017e+00,0.0998527829394204,0.0922855017569032,298,81.50419963057192,0.9894137931034482,110.0,20.0,120.0
2.8726682696056374e+00,0.1084434895832156,0.11253918162459105,649,88.4984135742861,0.9998620689655172,110.0,20.0,120.0
1.9971119815050544e+00,0.11471292977877542,0.11972812030427776,303,83.19194427201876,0.9999310344827587,110.0,20.0,120.0
2.8831395440072374e+00,0.11030155342214493,0.11235372944217265,652,88.11724137931034,1.0,110.0,20.0,120.0
1.9997946386991252e+00,0.11077992592553922,0.1291503184607635,303,82.7448275862069,1.0,110.0,20.0,120.0
9.911035936088483e-01,0.010035505462734698,0.15164365221103254,87,70.61858383785207,0.655,110.0,20.0,120.0
1.4997101909093873e+00,0.009981408455212143,0.09139264067521576,182,75.5209387011936,0.6817931034482758,110.0,20.0,120.0
9.911035936088483e-01,0.01996953189718327,0.15164365221103254,87,71.36096443160307,0.6922068965517242,110.0,20.0,120.0
1.4997101909093873e+00,0.019959206049044775,0.09139264067521576,182,76.19435136428913,0.7203448275862069,110.0,20.0,120.0
9.911035936088483e-01,0.0499916625206554,0.15164365221103254,87,73.41899301050518,0.8238965517241379,110.0,20.0,120.0
1.4997101909093873e+00,0.04997535353990866,0.09139264067521576,182,78.0145239805283,0.8642068965517241,110.0,20.0,120.0
9.911035936088483e-01,0.09732010905156892,0.15164365221103254,87,73.84951759561325,0.9935862068965517,110.0,20.0,120.0
1.499708758066613e+00,0.09857792510379337,0.0931084948037164,181,79.9061065276675,0.9989310344827587,110.0,20.0,120.0
9.911035936088483e-01,0.10133622972037777,0.15164365221103254,87,73.82036423841059,0.9997241379310344,110.0,20.0,120.0
1.488146469277758e+00,0.09809090142114738,0.11266923415642922,182,79.95103279423428,0.9999655172413793,110.0,20.0,120.0
9.911035936088483e-01,0.10125752069557055,0.15164365221103254,87,73.82068965517242,1.0,110.0,20.0,120.0
1.499807956444934e+00,0.0919086920043993,0.1360771085231975,180,78.79655172413793,1.0,110.0,20.0,120.0
