achieved epsilon,fairness gap,query fairness gap,number answered,student accuracy,coverage,sigma1,sigma2,threshold
9.594304018205736e-01,0.004189911927096446,0.5555549382722909,10,53.78180550714535,0.9563333333333334,100.0,10.0,130.0
1.9942171021382908e+00,0.009335279776500505,0.20238096782877824,86,62.13841083852069,0.9103333333333333,100.0,10.0,130.0
2.991178004491184e+00,0.009820047178076108,0.10323384290456511,187,68.41521980051718,0.9023333333333333,100.0,10.0,130.0
3.995904035498066e+00,0.007507128777033967,0.00551915393395519,366,76.46627565982405,0.9093333333333333,100.0,10.0,130.0
4.9910618059072105e+00,0.00838915833397963,0.005844163180217465,503,79.07869481765835,0.8683333333333333,100.0,10.0,130.0
5.989403037307992e+00,0.008550788947802257,0.005827768974106029,679,82.7977315689981,0.8816666666666667,100.0,10.0,130.0
6.985618250126051e+00,0.007889610337023012,0.008475768130324302,925,83.92523364485982,0.8916666666666667,100.0,10.0,130.0
7.998963464411942e+00,0.008520249555762693,0.008389130104148379,1200,84.57466918714556,0.8816666666666667,100.0,10.0,130.0
9.594304018205736e-01,0.0027199947989687834,0.5555549382722909,10,54.09670920080591,0.9926666666666667,100.0,10.0,130.0
1.9942171021382908e+00,0.04551944008631653,0.20238096782877824,86,62.29796205200281,0.9486666666666667,100.0,10.0,130.0
8.998046749940789e+00,0.00843767189594019,0.007830241113594039,1506,85.41353383458646,0.8866666666666667,100.0,10.0,130.0
2.991178004491184e+00,0.04970338423322235,0.10323384290456511,187,68.88111888111888,0.9533333333333334,100.0,10.0,130.0
9.995043675338351e+00,0.008700543332212374,0.008270723777301536,1852,85.05096262740656,0.883,100.0,10.0,130.0
3.9980142719495815e+00,0.04595716216718465,0.04485597458754503,393,79.86553432413305,0.942,100.0,10.0,130.0
4.997807815044721e+00,0.04838709792394452,0.04654734969435026,533,80.64516129032258,0.9093333333333333,100.0,10.0,130.0
9.594304018205736e-01,0.0006368649187499242,0.5555549382722909,10,54.17780748663102,0.9973333333333333,100.0,10.0,130.0
5.994940941107284e+00,0.047012565053198896,0.04605263573064011,709,83.62783988460151,0.9243333333333333,100.0,10.0,130.0
1.9942171021382908e+00,0.08893833354382658,0.20238096782877824,86,62.55020080321285,0.996,100.0,10.0,130.0
2.983359787800847e+00,0.027200777842362744,0.11170569751568343,180,62.17391304347826,0.9966666666666667,100.0,10.0,130.0
6.98751157270012e+00,0.048394315221421624,0.04711105279255695,961,82.41113961157933,0.9096666666666666,100.0,10.0,130.0
7.994954216214179e+00,0.0483481842682873,0.043614758881265814,1221,84.73762010347376,0.902,100.0,10.0,130.0
3.9999132402315203e+00,0.08585194867707968,0.09024369739269761,384,80.81815056720522,0.9696666666666667,100.0,10.0,130.0
9.594304018205736e-01,0.00039300054366964154,0.5555549382722909,10,54.21807269089697,0.9996666666666667,100.0,10.0,130.0
8.99770067862974e+00,0.04848216365922903,0.04622597544959661,1488,85.35170413343002,0.9193333333333333,100.0,10.0,130.0
1.9942171021382908e+00,0.09236193318780084,0.20238096782877824,86,62.5,1.0,100.0,10.0,130.0
4.983228794873874e+00,0.07189352847474945,0.0920095508846902,544,82.97076818490822,0.9806666666666667,100.0,10.0,130.0
2.9995880317274466e+00,0.06315366220026974,0.11657826113969971,181,66.43333333333334,1.0,100.0,10.0,130.0
9.98843188767202e+00,0.048642495306471134,0.03975882102322459,1839,85.19051042415528,0.9273333333333333,100.0,10.0,130.0
